Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
Y,PWZ,Invesco California AMT-Free Municipal Bond Portfolio,P, ,Y,100.0,N,,PWZ,PWZ,N
Y,PYS,Merrill Lynch Depositor Inc PPlus Tr Ser RRD-1 Tr Ctf Cl A,N, ,N,100.0,N,,PYS,PYS,N
Y,PYT,PPlus Tr GSC-2 Tr Ctf Fltg Rate,N, ,N,100.0,N,,PYT,PYT,N
Y,RGI,Invesco S&P 500 Equal Weight Industrials Portfolio,P, ,Y,100.0,N,,RGI,RGI,N
Y,ROSEU,Rosehill Resources Inc. - Unit,Q,S,N,100.0,N,N,,ROSEU,N
Y,RWX,SPDR DJ Wilshire Intl Real Estate,P, ,Y,100.0,N,,RWX,RWX,N
Y,SAP,SAP  SE ADS,N, ,N,100.0,N,,SAP,SAP,N
Y,SAQNU,Software Acquisition Group Inc. - Unit,Q,S,N,100.0,N,N,,SAQNU,N
Y,SBM,Short Basic Materials,P, ,Y,100.0,N,,SBM,SBM,N
Y,SDOW,UltraPro Short Dow30,P, ,Y,100.0,N,,SDOW,SDOW,N
Y,SMDD,UltraPro Short MidCap400,P, ,Y,100.0,N,,SMDD,SMDD,N
Y,SPXS,Direxion Daily S&P 500 Bear 3X,P, ,Y,100.0,N,,SPXS,SPXS,N
Y,SPY,SPDR S&P 500,P, ,Y,100.0,N,,SPY,SPY,N
Y,SREA,Sempra Energy 5.750% Junior Subordinated Notes due 2079,N, ,N,100.0,N,,SREA,SREA,N
Y,SRL,Scully Royalty Ltd.,N, ,N,100.0,N,,SRL,SRL,N
Y,T,AT&T Inc.,N, ,N,100.0,N,,T,T,N
Y,TANNI,TravelCenters of America Inc.  - 8.25% Senior Notes due 2028,Q,Q,N,100.0,N,N,,TANNI,N
Y,TANNL,TravelCenters of America Inc.  - 8.00% Senior Notes due 2029,Q,Q,N,100.0,N,N,,TANNL,N
Y,TANNZ,TravelCenters of America Inc.  - 8.00% Senior Notes due 2030,Q,Q,N,100.0,N,N,,TANNZ,N
Y,TBB,AT&T Inc. 5.350% Global Notes due 2066,N, ,N,100.0,N,,TBB,TBB,N
Y,TBC,AT&T Inc. 5.625% Global Notes due 2067,N, ,N,100.0,N,,TBC,TBC,N
Y,TEO,Telecom Argentina SA,N, ,N,100.0,N,,TEO,TEO,N
Y,TGNA,TEGNA Inc,N, ,N,100.0,N,,TGNA,TGNA,N
Y,THG,Hanover Insurance Group Inc,N, ,N,100.0,N,,THG,THG,N
Y,TIPX,SPDR Bloomberg Barclays 1-10 Year TIPS,P, ,Y,100.0,N,,TIPX,TIPX,N
Y,TMF,Direxion Daily 20-Yr Treasury Bull 3x Shrs,P, ,Y,100.0,N,,TMF,TMF,N
Y,TMV,Direxion Daily 20-Year Treasury Bear 3X,P, ,Y,100.0,N,,TMV,TMV,N
Y,TNK,Teekay Tankers Ltd.,N, ,N,100.0,N,,TNK,TNK,N
Y,TOT,Total S.A.,N, ,N,100.0,N,,TOT,TOT,N
Y,TOTAU,Tottenham Acquisition I Limited - Unit,Q,S,N,100.0,N,D,,TOTAU,N
Y,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,N, ,N,100.0,N,,TSM,TSM,N
Y,TT,Trane Technologies plc,N, ,N,100.0,N,,TT,TT,N
Y,TTM,Tata Motors Ltd Tata Motors Limited,N, ,N,100.0,N,,TTM,TTM,N
Y,TVE,Tennessee Valley Authority,N, ,N,100.0,N,,TVE,TVE,N
Y,TYD,Direxion Daily 10-Yr Treasury Bull 3x Shrs,P, ,Y,100.0,N,,TYD,TYD,N
Y,TYO,Direxion Daily 10-Yr Treasury Bear 3x Shrs,P, ,Y,100.0,N,,TYO,TYO,N
Y,UMDD,UltraPro MidCap400,P, ,Y,100.0,N,,UMDD,UMDD,N
Y,UNMA,Unum Group 6.250% Junior Subordinated Notes due 2058,N, ,N,100.0,N,,UNMA,UNMA,N
Y,USL,United States 12 Month Oil,P, ,Y,100.0,N,,USL,USL,N
Y,V,Visa Inc.,N, ,N,100.0,N,,V,V,N
Y,VEGN,US Vegan Climate Index,P, ,Y,100.0,N,,VEGN,VEGN,N
Y,WDIV,SPDR S&P Global Dividend,P, ,Y,100.0,N,,WDIV,WDIV,N
Y,WNS,WNS (Holdings) Limited Sponsored ADR (Jersey),N, ,N,100.0,N,,WNS,WNS,N
Y,WPC,W. P. Carey Inc. REIT,N, ,N,100.0,N,,WPC,WPC,N
Y,XHE,SPDR S&P Health Care Equipment,P, ,Y,100.0,N,,XHE,XHE,N
Y,XLB,Materials Select Sector SPDR,P, ,Y,100.0,N,,XLB,XLB,N
Y,XOP,SPDR S&P Oil & Gas Explor & Product,P, ,Y,100.0,N,,XOP,XOP,N
Y,ZGYHU,Yunhong International - Unit,Q,S,N,100.0,N,N,,ZGYHU,N
